Packet_Number,Current_Time,IP_Address,Packet_Length,Packet_Checksum,Category
592,1550702965.722893,169.254.4.50,156,55334,1
596,1550702968.282786,192.168.1.157,143,55324,1
597,1550702968.589955,192.168.1.157,143,55324,1
599,1550702968.897809,192.168.1.210,404,50491,1
600,1550702968.897971,192.168.1.157,143,55324,1
601,1550702969.000004,192.168.1.210,413,50477,1
602,1550702969.000738,192.168.1.210,460,50426,1
603,1550702969.001398,192.168.1.210,468,50414,1
604,1550702969.002226,192.168.1.210,470,50411,1
605,1550702969.00288,192.168.1.210,458,50421,1
606,1550702969.003679,192.168.1.210,478,50400,1
607,1550702969.20462,192.168.1.210,404,50464,1
608,1550702969.205452,192.168.1.157,424,50693,1
609,1550702969.206163,192.168.1.157,433,50684,1
610,1550702969.206504,192.168.1.157,311,50806,1
611,1550702969.207285,192.168.1.157,375,50742,1
612,1550702969.211795,192.168.1.162,185,62518,1
613,1550702969.228775,74.84.192.134,185,23586,1
614,1550702969.229206,192.168.1.162,137,1221,1
615,1550702969.236397,192.168.1.162,153,61989,1
616,1550702969.236595,192.168.1.162,1017,33628,1
617,1550702969.236658,192.168.1.162,313,24449,1
618,1550702969.236796,192.168.1.162,153,2788,1
619,1550702969.24594,74.84.192.134,169,5150,1
620,1550702969.2461,74.84.192.134,169,27433,1
621,1550702969.250126,74.84.192.134,137,17928,1
622,1550702969.263729,74.84.192.134,409,26978,1
623,1550702969.2639,74.84.192.134,729,11994,1
624,1550702969.263996,74.84.192.134,185,4040,1
625,1550702969.264368,192.168.1.162,137,47277,1
626,1550702969.264516,192.168.1.162,137,42596,1
627,1550702969.264607,192.168.1.162,137,22889,1
628,1550702969.264893,192.168.1.162,185,48066,1
629,1550702969.319968,74.84.192.134,137,21060,1
630,1550702969.511807,192.168.1.157,311,50806,1
631,1550702969.512434,192.168.1.157,375,50742,1
632,1550702969.513079,192.168.1.157,385,50732,1
633,1550702969.513744,192.168.1.210,413,50451,1
634,1550702969.513873,192.168.1.157,143,55324,1
635,1550702969.514786,192.168.1.210,460,50400,1
636,1550702969.515492,192.168.1.210,468,50388,1
637,1550702969.516194,192.168.1.210,470,50383,1
638,1550702969.516975,192.168.1.210,458,50394,1
639,1550702969.5177,192.168.1.210,478,50369,1
640,1550702969.517828,192.168.1.157,149,55318,1
642,1550702970.330962,192.168.1.157,235,55232,1
644,1550702971.150133,192.168.1.253,157,11398,1
646,1550702971.764438,192.168.1.253,155,11382,1
647,1550702971.969908,74.84.192.134,201,17900,1
648,1550702971.970244,192.168.1.162,137,63832,1
649,1550702972.160051,192.168.1.162,121,14074,1
650,1550702972.17505,74.84.192.134,137,30052,1
651,1550702972.481342,192.168.1.157,235,55232,1
653,1550702973.403302,192.168.1.210,434,53673,1
656,1550702973.760689,192.168.1.162,267,1796,1
657,1550702973.770829,18.205.93.208,52,4632,0
658,1550702973.772477,18.205.93.208,245,4436,1
