,Packet_Number,Hour,Packet_Length,Packet_Checksum,Bit32,Bit31,Bit30,Bit29,Bit28,Bit27,Bit26,Bit25,Bit24,Bit23,Bit22,Bit21,Bit20,Bit19,Bit18,Bit17,Bit16,Bit15,Bit14,Bit13,Bit12,Bit11,Bit10,Bit9,Bit8,Bit7,Bit6,Bit5,Bit4,Bit3,Bit2,Bit1,Category
92,113,22,0.08395904436860069,0.868825935649307,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
93,115,22,0.11535836177474403,0.36380426155442946,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
94,116,22,0.07167235494880546,0.7408724586360583,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
95,117,22,0.07372013651877134,0.16481470175224372,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
96,119,22,0.19590443686006825,0.7792142377434519,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
97,122,22,0.10034129692832765,0.3861194212100861,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
98,124,22,0.08532423208191127,0.2533884852555101,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
99,126,22,0.2395904436860068,0.8571493986201844,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
100,127,22,0.25051194539249144,0.8567983393369558,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
101,128,22,0.08395904436860069,0.2532053238903474,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
102,129,22,0.251877133105802,0.8566151779717931,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
103,130,22,0.24368600682593855,0.8567220221014713,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
104,131,22,0.24505119453924912,0.85663044141889,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
105,132,22,0.21296928327645054,0.8572562427498626,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
106,134,22,0.0757679180887372,0.8443586299529885,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
107,135,22,0.0757679180887372,0.8443586299529885,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
108,136,22,0.07167235494880546,0.03174796996153611,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
109,137,22,0.08259385665529011,0.9289944441052567,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
110,138,22,0.07167235494880546,0.7775963123511813,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
111,139,22,0.08259385665529011,0.10627938213566152,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
112,140,22,0.07167235494880546,0.9159747237316075,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
113,141,22,0.421160409556314,0.7039196532144819,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
114,142,22,0.11535836177474403,0.1940594663898895,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
115,143,22,0.12627986348122866,0.1647231210696624,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
116,144,22,0.07167235494880546,0.05542157640881616,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
117,145,22,1.0,0.08823798766713475,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
118,146,22,1.0,0.17136272055681054,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
119,147,22,1.0,0.34765553452591735,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
120,148,22,0.09351535836177474,0.11994016728738019,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
121,149,22,0.07167235494880546,0.5324806154221868,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
122,150,22,0.07167235494880546,0.39256059588497466,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
123,151,22,0.07167235494880546,0.34860186824592465,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
124,152,22,0.8361774744027304,0.21747359423652238,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
125,153,22,0.07167235494880546,0.6433695585811099,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
126,154,22,0.1590443686006826,0.6106752548995664,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
127,155,22,0.9235494880546075,0.5712345076011965,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
128,156,22,0.10443686006825938,0.19775322058733744,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
129,157,22,0.07167235494880546,0.7791531839550644,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
130,158,22,0.7815699658703071,0.12087123756029061,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
131,159,22,0.07167235494880546,0.15263447096892363,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
132,161,22,0.0757679180887372,0.8443586299529885,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
133,163,22,0.13856655290102388,0.8429543928200744,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
134,164,22,0.10443686006825938,0.1412937297759326,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
135,165,22,0.16996587030716725,0.30313205934428233,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
136,166,22,0.07167235494880546,0.7823432443983148,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
137,167,22,0.07167235494880546,0.9379846144453262,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
138,168,22,0.10034129692832765,0.6621741254044813,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
139,171,22,0.11672354948805462,0.17910128823493499,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
140,172,22,0.13856655290102388,0.8429543928200744,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1
141,175,22,0.010921501706484642,0.9304292081323645,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
