Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
32,1552801174,10.0.2.15,100215,443,60,61967,16384,8192,Sun,Mar,1,39,34,76,0,0,19,55970939,24168213,16365279,0,46.6,31.8,153268,447393,2852229120,13691465728,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
33,1552801174,35.222.85.5,35222855,172,44,30347,16384,8192,Sun,Mar,1,39,34,76,0,0,20,55970969,24168239,16365317,0,46.6,31.8,153268,447393,2852229120,13691465728,120524,1224416,575146,1068107,420142154,1064992418,40,64,Web_Attack
34,1552801175,10.0.2.15,100215,443,40,61986,16384,8192,Sun,Mar,1,39,34,76,13,3,3,55972075,24168590,16365446,0,46.6,31.8,153268,447393,2852229120,13691465728,120524,1224416,575146,1068107,420142154,1064992418,52.6,64,Web_Attack
35,1552801175,10.0.2.15,100215,443,127,61898,16384,8192,Sun,Mar,1,39,34,76,0,0,20,55972379,24168754,16365524,0,46.6,31.8,153268,447393,2852229120,13691465728,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
36,1552801175,35.222.85.5,35222855,152,40,30350,16384,8192,Sun,Mar,1,39,35,76,0,0,20,55972531,24168850,16365599,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,9.5,64,Web_Attack
37,1552801175,35.222.85.5,35222855,66,188,30201,16384,8192,Sun,Mar,1,39,35,76,0,0,19,55972817,24169004,16365685,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
38,1552801175,10.0.2.15,100215,443,40,61984,16384,8192,Sun,Mar,1,39,35,76,0,0,20,55972849,24169030,16365727,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
39,1552801176,35.222.85.5,35222855,133,40,30348,16384,8192,Sun,Mar,1,39,35,76,0,0,20,55972894,24169069,16365778,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
40,1552801176,10.0.2.15,100215,443,40,61983,16384,8192,Sun,Mar,1,39,35,76,0,0,28,55972938,24169098,16365825,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
41,1552801176,35.222.85.5,35222855,113,40,30347,16384,8192,Sun,Mar,1,39,36,76,0,0,20,55972977,24169146,16365892,0,46.6,31.8,153268,447394,2852229120,13691478016,120524,1224416,575146,1068107,420142154,1064992418,0,64,Web_Attack
42,1552801203,35.160.42.0,35160420,173,71,41390,16384,8192,Sun,Mar,1,40,2,76,0,0,19,55976686,24171004,16367171,0,46.6,31.8,153268,447414,2852229120,13691682816,120524,1224440,575147,1068109,420142243,1064992563,0,64,Web_Attack
43,1552801203,10.0.2.15,100215,443,75,27504,16384,8192,Sun,Mar,1,40,3,76,0,0,20,55976912,24171062,16367221,0,46.6,31.8,153268,447414,2852229120,13691682816,120524,1224440,575147,1068109,420142243,1064992563,0,64,Web_Attack
44,1552801203,35.160.42.0,35160420,78,40,41420,16384,8192,Sun,Mar,1,40,3,76,0,0,20,55977061,24171102,16367255,0,46.6,31.8,153268,447414,2852229120,13691682816,120524,1224440,575147,1068109,420142243,1064992563,0,64,Web_Attack
45,1552801331,10.0.2.15,100215,443,76,28583,16384,8192,Sun,Mar,1,42,11,76,0,0,19,55998744,24180959,16374769,0,46.6,31.8,153268,447483,2852229120,13692502016,120524,1224492,575148,1068110,420142333,1064992653,0,64,Web_Attack
46,1552801331,91.189.89.199,9118989199,122,76,14776,16384,8192,Sun,Mar,1,42,11,76,0,0,20,55998774,24180998,16374819,0,46.6,31.8,153268,447483,2852229120,13692502016,120524,1224492,575148,1068110,420142333,1064992653,0,64,Web_Attack
49,1552801474,10.0.2.15,100215,443,60,12924,16384,8192,Sun,Mar,1,44,34,76,0,0,20,56027345,24191641,16382391,0,46.3,31.8,153268,447577,2852229120,13693534208,120524,1224556,575156,1068117,420143044,1064993209,0,64,Web_Attack
50,1552801474,35.224.99.156,3522499156,111,44,26602,16384,8192,Sun,Mar,1,44,34,76,0,0,20,56027383,24191671,16382439,0,46.3,31.8,153268,447577,2852229120,13693534208,120524,1224556,575158,1068120,420143164,1064993531,0,64,Web_Attack
51,1552801475,10.0.2.15,100215,443,40,12943,16384,8192,Sun,Mar,1,44,34,76,0,0,20,56027413,24191699,16382488,0,46.3,31.8,153268,447577,2852229120,13693534208,120524,1224556,575158,1068120,420143164,1064993531,0,64,Web_Attack
52,1552801475,10.0.2.15,100215,443,127,12855,16384,8192,Sun,Mar,1,44,34,76,0,0,20,56027445,24191729,16382531,0,46.3,31.8,153268,447577,2852229120,13693534208,120524,1224556,575158,1068120,420143164,1064993531,0,64,Web_Attack
53,1552801475,35.224.99.156,3522499156,158,40,26605,16384,8192,Sun,Mar,1,44,34,76,0,0,20,56027486,24191762,16382581,0,46.3,31.8,153268,447578,2852229120,13693546496,120524,1224556,575158,1068120,420143164,1064993531,0,64,Web_Attack
54,1552801475,35.224.99.156,3522499156,119,188,26456,16384,8192,Sun,Mar,1,44,35,76,0,0,20,56027539,24191816,16382654,0,46.3,31.8,153268,447578,2852229120,13693546496,120524,1224556,575158,1068120,420143164,1064993531,61.1,64,Web_Attack
55,1552801475,10.0.2.15,100215,443,40,12941,16384,8192,Sun,Mar,1,44,35,76,12,0,9,56028238,24192079,16382825,0,46.3,31.8,153268,447581,2852229120,13693603840,120524,1224560,575158,1068120,420143164,1064993531,61.1,64,Web_Attack
56,1552801476,35.224.99.156,3522499156,89,40,26603,16384,8192,Sun,Mar,1,44,35,76,9,0,9,56028849,24192364,16382946,0,46.3,31.8,153268,447581,2852229120,13693603840,120524,1224560,575158,1068120,420143164,1064993531,15.8,64,Web_Attack
57,1552801476,10.0.2.15,100215,443,40,12940,16384,8192,Sun,Mar,1,44,35,76,0,0,20,56029640,24192779,16383014,0,46.3,31.8,153268,447581,2852229120,13693603840,120524,1224560,575158,1068120,420143164,1064993531,0,64,Web_Attack
58,1552801476,35.224.99.156,3522499156,56,40,26602,16384,8192,Sun,Mar,1,44,36,76,0,0,21,56029680,24192835,16383060,0,46.3,31.8,153268,447581,2852229120,13693603840,120524,1224560,575158,1068120,420143164,1064993531,0,64,Web_Attack
59,1552801503,35.160.42.0,35160420,153,71,41382,16384,8192,Sun,Mar,1,45,2,76,0,0,20,56033303,24194715,16384631,0,46.3,31.8,153268,447610,2852229120,13693890560,120524,1224576,575159,1068122,420143253,1064993676,0,64,Web_Attack
60,1552801503,10.0.2.15,100215,443,75,27503,16384,8192,Sun,Mar,1,45,3,76,0,0,20,56033368,24194756,16384689,0,46.3,31.8,153268,447610,2852229120,13693890560,120524,1224576,575159,1068122,420143253,1064993676,0,64,Web_Attack
61,1552801503,35.160.42.0,35160420,177,40,41412,16384,8192,Sun,Mar,1,45,3,76,0,0,20,56033402,24194776,16384718,0,46.3,31.8,153268,447610,2852229120,13693890560,120524,1224576,575159,1068122,420143253,1064993676,0,64,Web_Attack
62,1552801667,10.0.2.15,100215,443,82,18660,16384,8192,Sun,Mar,1,47,47,76,9,2,7,56062897,24206300,16393624,0,46.3,31.8,153268,447753,2852229120,13695266816,120524,1224660,575164,1068125,420143691,1064993922,0,64,Web_Attack
63,1552801668,10.0.2.15,100215,443,82,18659,16384,8192,Sun,Mar,1,47,47,76,5,4,10,56063858,24206768,16393904,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575225,1068208,420150275,1065067408,5,64,Web_Attack
64,1552801668,10.195.6.40,10195640,100,222,56759,16384,8192,Sun,Mar,1,47,47,76,2,0,18,56064242,24206960,16394059,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575252,1068242,420156593,1065077471,4.8,64,Web_Attack
65,1552801668,10.0.2.15,100215,443,60,21110,16384,8192,Sun,Mar,1,47,48,76,1,0,19,56064634,24207103,16394171,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
